tokenizer,language,tokens,words,graphemes,bytes,sentences,macro_tok_per_word,tok_per_word,tok_per_grapheme,tok_per_byte,tok_per_sentence
gpt2,eng,27044,21901,131966,132096,1012,1.2444278318059752,1.2348294598420164,0.2049315732840277,0.2047298934108527,26.723320158102766
gpt2,hin,200704,25643,85978,337460,1012,7.867157186288363,7.826853332293413,2.3343646048989277,0.5947490072897529,198.32411067193675
gpt2,kan,367465,16100,90471,375441,1012,23.02419309563753,22.82391304347826,4.061688275801085,0.9787556500222405,363.10770750988144
gpt2,tam,420171,16775,99724,421635,1012,25.250813651258763,25.047451564828613,4.213338815129758,0.9965278024831904,415.1887351778656
gpt2,tel,350782,16938,76602,353696,1012,20.82650361313779,20.709765025386705,4.579279914362549,0.9917612865285443,346.62252964426875
mt5-small,eng,33791,21901,131966,132096,1012,1.5533959217596995,1.5428975845851787,0.2560583786732946,0.2558063832364341,33.390316205533594
mt5-small,hin,53495,25643,85978,337460,1012,2.098207078399547,2.08614436688375,0.6221940496406058,0.1585224915545546,52.86067193675889
mt5-small,kan,48393,16100,90471,375441,1012,3.0300933982808687,3.005776397515528,0.5349006864077992,0.12889641781265232,47.819169960474305
mt5-small,tam,42624,16775,99724,421635,1012,2.5564034562626663,2.540923994038748,0.4274196783121415,0.10109217688284891,42.11857707509881
mt5-small,tel,47639,16938,76602,353696,1012,2.832196383812134,2.8125516589916164,0.6219028223806167,0.13468911155342442,47.07411067193676
